idna_subject,checker_type,destination,tested_at
1.100.18.90,AVAILABILITY,domains.list,2021-07-08 10:41:19.751593
1.101.88.249,AVAILABILITY,domains.list,2021-07-08 10:41:40.438038
1.109.106.221,AVAILABILITY,domains.list,2021-07-08 10:42:00.932525
1.109.125.143,AVAILABILITY,domains.list,2021-07-08 10:42:21.997675
1.109.26.76,AVAILABILITY,domains.list,2021-07-08 10:42:42.893539
1.119.0.247,AVAILABILITY,domains.list,2021-07-08 10:43:11.785732
1.119.10.198,AVAILABILITY,domains.list,2021-07-08 10:43:32.071924
1.119.12.115,AVAILABILITY,domains.list,2021-07-08 10:43:52.289880
1.119.128.170,AVAILABILITY,domains.list,2021-07-08 10:44:16.342123
1.119.140.98,AVAILABILITY,domains.list,2021-07-08 10:44:18.472710
1.119.145.114,AVAILABILITY,domains.list,2021-07-08 10:44:29.826922
1.119.145.66,AVAILABILITY,domains.list,2021-07-08 10:44:57.362033
1.119.146.187,AVAILABILITY,domains.list,2021-07-08 10:45:21.219505
1.119.192.195,AVAILABILITY,domains.list,2021-07-08 10:49:08.135062
1.119.3.58,AVAILABILITY,domains.list,2021-07-08 10:49:28.412813
1.119.4.99,AVAILABILITY,domains.list,2021-07-08 10:49:48.685685
1.119.43.90,AVAILABILITY,domains.list,2021-07-08 10:50:09.087855
1.119.55.10,AVAILABILITY,domains.list,2021-07-08 10:50:44.440291
1.144.196.99,AVAILABILITY,domains.list,2021-07-08 10:51:06.209067
